,lbcItemName,label
0,חטיף 1/5 פקאן,קטניות ומוצרי דגן
1,קסמי שיניים דנטלי,
2,קסמי שיניים דנטל,תרופות וצורכי רפואה שונים
3,רוטב צ'ילי מתוק,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
4,רוטב צילי מתוק 290מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
5,"עוגיות שטרודל פריכות תפו""""ע וצימוקים","ביסקוויטים, עוגות וכדומה"
6,עוגיות בראוניס שוקולד 225 גרם,"ביסקוויטים, עוגות וכדומה"
7,עוגיות שוקולד ציפס מובחרות עם % 37 שוקול,"ביסקוויטים, עוגות וכדומה"
8,JOLEN מבהיר שיער 28 גר,
9,Cool Wave קליר סטיק אפ,צורכי רחצה וקוסמטיקה
10,גילט סירייס גל גילוח לעור נקי,צורכי רחצה וקוסמטיקה
11,ג'ילט ג'ל גילוח הגנה גבוהה 200מל,צורכי רחצה וקוסמטיקה
12,גילט סירייס גל גילוח לעור רגיש,צורכי רחצה וקוסמטיקה
13,ג'ילט סירייס ג'ל גילוח מועשר בלחות 200מל,צורכי רחצה וקוסמטיקה
14,ג'ילט קצף גילוח רגיש 250מל,צורכי רחצה וקוסמטיקה
15,ג'ילט קצף גילוח מועשר בלחות 250מל,צורכי רחצה וקוסמטיקה
16,סכין גילוח וונוס *8,צורכי רחצה וקוסמטיקה
17,ג'ילט קצף גילוח הגנה גבוהה 250מל,צורכי רחצה וקוסמטיקה
18,גילט סירייס גל גילוח עם ריכוך,צורכי רחצה וקוסמטיקה
19,מגיק לציפוי שניצלים,קמח
20,מנקה כללי אסטונש,"חומרי כביסה, ניקוי והדברה"
21,"סכו""""ם תלת מימד",
22,"פריסקיז דגים 1.42 ק""""ג",תחביבים
23,פריסקיז גורמה 459גר,תחביבים
24,פריסקיז גורמה עוף הודו בקר וכבד 1.42קג,תחביבים
25,עוגיות סנדוויץ ט.שונים,"ביסקוויטים, עוגות וכדומה"
26,עוגיות סנדביץ,"ביסקוויטים, עוגות וכדומה"
27,וויט פיש,
28,שמן שומשום,שמנים
29,בקבוק  לתינוק,מוצרים ואביזרים לטיפול בתינוק
30,בקבוק קטן,מוצרים ואביזרים לטיפול בתינוק
31,בקבוק חור גדול,מוצרים ואביזרים לטיפול בתינוק
32,בקבוק רחב פורמול,מוצרים ואביזרים לטיפול בתינוק
33,פרו 30 מל. א.ד.פ אישה,צורכי רחצה וקוסמטיקה
34,פרו 75 מל. א.ד.פ אישה,צורכי רחצה וקוסמטיקה
35,טורונט 30 מל. א.ד.פ אישה,צורכי רחצה וקוסמטיקה
36,טורונט 100 מל. א.ד.ט אישה,צורכי רחצה וקוסמטיקה
37,WOMEN V 30 EDT,צורכי רחצה וקוסמטיקה
38,סורבט שרונס -שוקולד,גלידות
39,סורבט שרונס לימון 385,גלידות
40,סורבט שרונס קוקוס 385,גלידות
41,סורבט פסיפלורה 385 מל,גלידות
42,סורבט שרונס פריתשוקה 385,גלידות
43,זיתים שלור/ירוק/חרוזית במשקל,זיתים
44,וובלה יבשה,שימורי דגים ודגים מעובדים
45,סלט בר בינוני,
46,16% גבינת פטה כבשים מעודנת,
47,צפתית קצח,
48,צוריאל בולגרית כבשים בואקום-ירוק,גבינה
49,מגבונים דרלינג לתינוק,צורכי רחצה וקוסמטיקה
50,בולגרית בקר,גבינה
51,צוריאל חלומי מחלב כבשים,גבינה
52,רד בול,משקאות קלים
53,ריינולדס 30*7.60,צורכי משק בית אחרים
54,ריינולדס נייר אלומיניום 22.8*0.3,צורכי משק בית אחרים
55,ריינולדס נייר אלומיניום  45*7.60,צורכי משק בית אחרים
56,נייר כסף דאיימונד,צורכי משק בית אחרים
57,נייר כסף ריינדולס 25,צורכי משק בית אחרים
58,נייר כסף רינדולס 75,צורכי משק בית אחרים
59,נייר כסף ריינדולס 200,צורכי משק בית אחרים
60,נייר כסף ריינדולס 37.5,צורכי משק בית אחרים
61,דיימונד נילון נצמד חדש,צורכי משק בית אחרים
62,ריינולדס ניילון נצמד צבעוני,צורכי משק בית אחרים
63,ריינולדס ניילון נצמד רחב,צורכי משק בית אחרים
64,דיימונד שקיות זיפר למזון בינוניות 25 יח,צורכי משק בית אחרים
65,דיימונד שקיות זיפר גדולות 20 יח,צורכי משק בית אחרים
66,קרם לילה לפנים  דאב,צורכי רחצה וקוסמטיקה
67,דאב מי פנים,צורכי רחצה וקוסמטיקה
68,דאב תחליב יום,צורכי רחצה וקוסמטיקה
69,כריות לניקוי  פנים דאב 28יח,
70,קצף ניקוי לפנים  דאב 200מל,
71,מרענן ומבשם בדים מרסס 454 ג,
72,מנקה תנורים וגריל,"חומרי כביסה, ניקוי והדברה"
73,מרסס מנקה בדי ריפוד 340 גרם,"חומרי כביסה, ניקוי והדברה"
74,פולי סויה 450 גר,ירקות קפואים
75,היל מרלו קברנה,משקאות אלכוהוליים
76,שעועית אדומה כהה 439 גר,ירקות משומרים
77,שעועית אדומה 439גר,ירקות משומרים
78,שעועית פינטו 439 גר,ירקות משומרים
79,שעועית לבנה 439גר,ירקות משומרים
80,שעועית ברוטב עגבניות 454 גר,ירקות משומרים
81,שעועית חמאה 439גר,ירקות משומרים
82,שעועית שחורה 439 גר,ירקות משומרים
83,קינג קול שעועית אדומה בהירה 439 גרם,ירקות משומרים
84,קינג קול שעועית אדומה כהה 439 גרם,ירקות משומרים
85,קינג קול שעועית שחורה 454 גרם,ירקות משומרים
86,"רוטב טבסקו  60 מ""""ל","תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
87,טובסקו משפחתי,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
88,טבסקו,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
89,טבסקו 150 מ`ל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
90,בלאדי מרי טבסקו,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
91,בלאדי מרי טבסקו,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
92,רוטב טבסקו,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
93,רוטב טבסקו שום,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
94,רוטב טבסקו,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
95,רוטב טריאקי עם טבסקו150מ,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
96,רוטב ירוק 60 מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
97,רוטב טבסקו ירוק,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
98,טבסקו פלפל צפוטלי חריף 60 מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
99,"אדמונית בינוני טרי לק""""ג",
100,שוקולד חלב ללא סוכר,ממתקים ושוקולד
101,שוקולד מריר ללא סוכר,ממתקים ושוקולד
102,שוקולד לבן ללא סוכר,ממתקים ושוקולד
103,משקה מוגז 355 מל,
104,אולד ספייס (ג) אדק 125מ'ל,צורכי רחצה וקוסמטיקה
105,לבן לפורה,משקאות אלכוהוליים
106,שאבלי לבן יבש,משקאות אלכוהוליים
107,אדום בוזולה וילאז,משקאות אלכוהוליים
108,בוזולה משקה חריף,משקאות אלכוהוליים
109,"אדום מולן-א-ואן-דרוהין 750 מ""""ל",משקאות אלכוהוליים
110,אדום לפורה,משקאות אלכוהוליים
111,בולגרית בקר 3% בואקום,גבינה
112,פסטרמה מעושנת,בשר משומר ומעובד
113,פסטרמה עוף מעושנת,בשר משומר ומעובד
114,עמק לייט,גבינה
115,ממרח שוקי 250 גרם,ממתקים ושוקולד
116,II סכיני גילוח שיק לנשים ח.פ אקסטרים,צורכי רחצה וקוסמטיקה
